promotion_record_id,promotion_category,promotion_name,promotion_details,details_url,action_label,action_url,source_url,date_collected
11,Dining,IN-ROOM DINING SPECIALS,"Indulge in flavorful dishes right in the comfort of your room. | Php 3,300 nett per set",,,,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
12,Dining,CUISINE MEETS CULTURE,"Feast on a sumptuous Filipino-Continental buffet while watching a live cultural show by the Bughaw Folkloric Dance Group during the lunch buffet every Saturday and Sunday. | Rates start at Php 1,850 per person",,RESERVE NOW,https://forms.office.com/r/LTwLn6BxuU,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
13,Dining,GELATO,"Taste the creamy richness of our freshly made gelato. From classic favorites to tantalizing new creations, there’s a gelato for every craving. | Rates start at Php 130",,,,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
14,Dining,FILIPINO CLASSICS,"Indulge in our Bibingka and Puto Bumbong, served with tsokolate batirol, brewed coffee, or hot tea. | Rates start at Php 580 per person",https://www.taalvistahotel.com/wp-content/uploads/2026/04/Filipino-Classic-Website.jpg,,,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
15,Dining,GINGER GLAZED RIBS,"Take in the view at The Ridge while enjoying juicy ribs with rich flavors right to the bone! Served with a side of french fries and corn on the cob. | Rates start at Php 1,820, good for two persons",,,,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
16,Dining,A WALK THROUGH TIME,"Indulge in delectable treats to round off your one-hour guided walking tour through the colorful history and heritage of Taal Vista Hotel. | Rates start at Php 3,200 for two persons",,,,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
17,Dining,GRILL AT ALTA,"Partake in succulent barbecues with great company and relaxing views. | Rates start at Php 1,600, good for two persons",https://www.taalvistahotel.com/wp-content/uploads/2026/08/FIRED-UP-FEAST.jpg,,,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
18,Dining,AFTERNOON TEA TIME,"Favored Filipino and international delicacies take centerstage to make your afternoon more special. | Rate is at Php 980, good for two persons",,,,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
19,Events,TIMELESS CHRISTMAS FESTIVITIES,"Thoughtfully curated celebrations inspired by timeless traditions, exceptional hospitality, and meaningful connections that bring teams together.",https://www.taalvistahotel.com/christmas-party-packages-2026/,CUSTOMIZE A PROPOSAL,https://forms.office.com/r/dyVRwuYTXK,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
20,Events,EDUXPERIENCE: LEARN & EXPLORE AT TAAL VISTA HOTEL,"Enjoy a unique educational experience with insightful discussions, hands-on exposure to hotel operations, and local Pasalubong treats!",https://www.taalvistahotel.com/wp-content/uploads/2026/08/EDU-XPERIENCE-28-AUGUST.jpg,CUSTOMIZE A PROPOSAL,https://forms.office.com/r/dyVRwuYTXK,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
21,Events,CATERING-ON-THE-GO,"Experience the exquisite flavors of Taal Vista Hotel as we bring our esteemed culinary mastery to your special events, all in the comfort of your chosen venue.",,CUSTOMIZE A PROPOSAL,https://forms.office.com/r/dyVRwuYTXK,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
22,Events,WEDDING PACKAGE,"Ignite the spark of your new life at this timeless hotel, with personalized packages, multifaceted event spaces, and delectable banquet options to ensure that your perfect partly comes to life.",https://www.taalvistahotel.com/taal-vista-hotel-wedding-e-brochure/,CUSTOMIZE A PROPOSAL,https://forms.office.com/r/dyVRwuYTXK,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
23,Events,PARTY PACKAGE,"Celebrate your special events in style with elegant spaces, exquisite catering options and genuine hospitality.",,CUSTOMIZE A PROPOSAL,https://forms.office.com/r/dyVRwuYTXK,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
24,"Rain, The Spa",A WARM ESCAPE FROM THE RAIN,Turn gloomy weather into a moment of self care,https://www.taalvistahotel.com/wp-content/uploads/2026/07/rain-the-spa-new.jpg,Book Your Spa Experience,https://bit.ly/TVHSpaReservations,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
25,"Rain, The Spa",SOY AND FIRE,Warm oil from soy candle and signature chamomile tea to re-awaken your passion.,,Book Your Spa Experience,https://bit.ly/TVHSpaReservations,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
